STATUS | wrapper  | 2016/02/23 16:01:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2016/02/23 16:01:13 | Automatic JVM Restarts disabled.  Shutting down.
STATUS | wrapper  | 2016/02/23 16:01:13 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/02/23 18:35:36 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2016/02/23 18:35:36 | Java Service Wrapper Community Edition 32-bit 3.5.25
STATUS | wrapper  | 2016/02/23 18:35:36 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/02/23 18:35:36 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/02/23 18:35:36 | 
STATUS | wrapper  | 2016/02/23 18:35:37 | Launching a JVM...
INFO   | jvm 1    | 2016/02/23 18:35:37 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/02/23 18:35:37 | jetty.home = ../../../tools/jetty
INFO   | jvm 1    | 2016/02/23 18:35:39 | log4j:WARN Continuable parsing error 1 and column 194
INFO   | jvm 1    | 2016/02/23 18:35:39 | log4j:WARN Document root element "log4j:configuration", must match DOCTYPE root "null".
INFO   | jvm 1    | 2016/02/23 18:35:39 | log4j:WARN Continuable parsing error 1 and column 194
INFO   | jvm 1    | 2016/02/23 18:35:39 | log4j:WARN Document is invalid: no grammar found.
INFO   | jvm 1    | 2016/02/23 18:35:39 | 23 Feb 2016 18:35:39,947 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:120) - Configuring eXist from /vagrant/exist/tools/wrapper/bin/../../../conf.xml 
INFO   | jvm 1    | 2016/02/23 18:35:39 | 23 Feb 2016 18:35:39,949 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:122) - Running with Java 1.7.0_95 [Oracle Corporation (OpenJDK Client VM) in /usr/lib/jvm/java-7-openjdk-i386/jre] 
INFO   | jvm 1    | 2016/02/23 18:35:39 | 23 Feb 2016 18:35:39,950 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:128) - Running as user 'root' 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,986 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:131) - [eXist Version : 2.2] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:133) - [eXist Build : 20141120] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:135) - [eXist Home : unknown] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:137) - [Git commmit : master-5c5aadc] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:140) - [Operating System : Linux 3.13.0-77-generic i386] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:145) - [jetty.home : ../../../tools/jetty] 
INFO   | jvm 1    | 2016/02/23 18:35:40 | 23 Feb 2016 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:147) - [log4j.configuration : file:../conf/log4j.xml] 
INFO   | jvm 1    | 2016/02/23 18:35:44 | Feb 23, 2016 6:35:44 PM org.expath.pkg.repo.util.Logger info
INFO   | jvm 1    | 2016/02/23 18:35:44 | INFO: Create a new repository with storage: File system storage in /vagrant/exist/webapp/WEB-INF/data/expathrepo
INFO   | jvm 1    | 2016/02/23 18:35:46 | Loading mime table from file /vagrant/exist/tools/wrapper/bin/../../../mime-types.xml
INFO   | jvm 1    | 2016/02/23 18:36:24 | 23 Feb 2016 18:36:24,769 [WrapperListener_start_runner] INFO  (JettyStart.java [lifeCycleStarting]:413) - Jetty server starting... 
INFO   | jvm 1    | 2016/02/23 18:36:24 | 23 Feb 2016 18:36:24,781 [WrapperListener_start_runner] INFO  (Server.java [doStart]:270) - jetty-8.1.9.v20130131 
INFO   | jvm 1    | 2016/02/23 18:36:27 | Initializing RemoteConsole...
INFO   | jvm 1    | 2016/02/23 18:36:27 | Logging already initialized. Skipping...
INFO   | jvm 1    | 2016/02/23 18:36:28 | 23 Feb 2016 18:36:28,832 [WrapperListener_start_runner] INFO  (NCSARequestLog.java [doStart]:649) - Opened /vagrant/exist/tools/jetty/logs/2016_02_23.request.log 
INFO   | jvm 1    | 2016/02/23 18:36:28 | 23 Feb 2016 18:36:28,852 [WrapperListener_start_runner] INFO  (ScanningAppProvider.java [doStart]:113) - Deployment monitor /vagrant/exist/tools/jetty/contexts at interval 10 
INFO   | jvm 1    | 2016/02/23 18:36:28 | 23 Feb 2016 18:36:28,865 [WrapperListener_start_runner] INFO  (ScanningAppProvider.java [doStart]:113) - Deployment monitor /vagrant/exist/tools/jetty/webapps at interval 10 
INFO   | jvm 1    | 2016/02/23 18:36:28 | 23 Feb 2016 18:36:28,916 [WrapperListener_start_runner] INFO  (DeploymentManager.java [addApp]:132) - Deployable added: /vagrant/exist/tools/jetty/webapps/homepage 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,154 [WrapperListener_start_runner] INFO  (DeploymentManager.java [addApp]:132) - Deployable added: /vagrant/exist/tools/jetty/webapps/portal 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,388 [WrapperListener_start_runner] INFO  (AbstractConnector.java [doStart]:338) - Started SelectChannelConnector@0.0.0.0:8080 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,675 [WrapperListener_start_runner] INFO  (SslContextFactory.java [doStart]:300) - Enabled Protocols [SSLv2Hello, TLSv1, TLSv1.1, TLSv1.2] of [SSLv2Hello, SSLv3, TLSv1, TLSv1.1, TLSv1.2] 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,692 [WrapperListener_start_runner] INFO  (AbstractConnector.java [doStart]:338) - Started SslSelectChannelConnector@0.0.0.0:8443 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,692 [WrapperListener_start_runner] INFO  (JettyStart.java [lifeCycleStarted]:421) - Jetty server started. 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,697 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:233) - ----------------------------------------------------- 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,698 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:234) - Server has started on ports 8080 8443. Configured contexts: 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,698 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:243) - '/exist' 
INFO   | jvm 1    | 2016/02/23 18:36:29 | 23 Feb 2016 18:36:29,698 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:281) - ----------------------------------------------------- 
INFO   | jvm 1    | 2016/02/23 18:46:04 | Feb 23, 2016 6:46:04 PM org.expath.pkg.repo.util.Logger info
INFO   | jvm 1    | 2016/02/23 18:46:04 | INFO: Warning: package uses old-style content dir: '/vagrant/exist/webapp/WEB-INF/data/expathrepo/functx-1.0/functx'
INFO   | jvm 1    | 2016/02/23 18:46:05 | org.xml.sax.SAXParseException: Content is not allowed in prolog.
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.collections.Collection$5.run(Collection.java:1487)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.collections.Collection.validateXMLResourceInternal(Collection.java:1634)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.collections.Collection.validateXMLResource(Collection.java:1470)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.repo.Deployment.storeFiles(Deployment.java:640)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.repo.Deployment.scanDirectory(Deployment.java:601)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.repo.Deployment.deploy(Deployment.java:359)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.repo.Deployment.installAndDeploy(Deployment.java:253)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.repo.Deployment.installAndDeploy(Deployment.java:148)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.modules.expathrepo.Deploy.installAndDeployFromDb(Deploy.java:185)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.modules.expathrepo.Deploy.eval(Deploy.java:144)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BasicFunction.eval(BasicFunction.java:70)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.InternalFunctionCall.eval(InternalFunctionCall.java:56)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:142)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BindingExpression.eval(BindingExpression.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:58)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:65)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:189)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BindingExpression.eval(BindingExpression.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.ConditionalExpression.eval(ConditionalExpression.java:100)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:58)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:65)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:189)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BindingExpression.eval(BindingExpression.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.UserDefinedFunction.eval(UserDefinedFunction.java:155)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DynamicCardinalityCheck.eval(DynamicCardinalityCheck.java:74)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.Atomize.eval(Atomize.java:66)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DynamicTypeCheck.eval(DynamicTypeCheck.java:61)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.evalFunction(FunctionCall.java:328)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.eval(FunctionCall.java:232)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:142)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BindingExpression.eval(BindingExpression.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.PathExpr.eval(PathExpr.java:264)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.TryCatchExpression.eval(TryCatchExpression.java:127)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.PathExpr.eval(PathExpr.java:264)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.EnclosedExpr.eval(EnclosedExpr.java:80)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.PathExpr.eval(PathExpr.java:264)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.ElementConstructor.eval(ElementConstructor.java:311)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.ConditionalExpression.eval(ConditionalExpression.java:100)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.UserDefinedFunction.eval(UserDefinedFunction.java:155)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.evalFunction(FunctionCall.java:328)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.eval(FunctionCall.java:232)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.value.FunctionReference.eval(FunctionReference.java:80)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DynamicFunctionCall.eval(DynamicFunctionCall.java:75)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.ConditionalExpression.eval(ConditionalExpression.java:100)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.UserDefinedFunction.eval(UserDefinedFunction.java:155)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.evalFunction(FunctionCall.java:328)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.FunctionCall.eval(FunctionCall.java:232)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:58)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.DebuggableExpression.eval(DebuggableExpression.java:65)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:189)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.LetExpr.eval(LetExpr.java:187)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.BindingExpression.eval(BindingExpression.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.PathExpr.eval(PathExpr.java:264)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.AbstractExpression.eval(AbstractExpression.java:71)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.XQuery.execute(XQuery.java:297)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.xquery.XQuery.execute(XQuery.java:217)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.RESTServer.executeXQuery(RESTServer.java:1533)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.RESTServer.doPost(RESTServer.java:672)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.servlets.EXistServlet.doPost(EXistServlet.java:445)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:755)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:669)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:457)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:575)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:231)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1075)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:384)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:193)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1009)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.Dispatcher.forward(Dispatcher.java:229)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.Dispatcher.forward(Dispatcher.java:103)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.urlrewrite.Forward.doRewrite(Forward.java:50)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.urlrewrite.XQueryURLRewrite.doRewrite(XQueryURLRewrite.java:567)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.exist.http.urlrewrite.XQueryURLRewrite.service(XQueryURLRewrite.java:355)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:669)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1448)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at de.betterform.agent.web.filter.XFormsFilter.doFilter(XFormsFilter.java:164)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1419)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:455)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:533)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:231)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1075)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:384)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:193)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1009)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.HandlerCollection.handle(HandlerCollection.java:154)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.Server.handle(Server.java:368)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:488)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.AbstractHttpConnection.content(AbstractHttpConnection.java:943)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.content(AbstractHttpConnection.java:1004)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:861)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:240)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.server.AsyncHttpConnection.handle(AsyncHttpConnection.java:82)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:628)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:52)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:608)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:543)
INFO   | jvm 1    | 2016/02/23 18:46:05 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 23 Feb 2016 18:50:55,628 [eXistThread-46] WARN  (ServletHandler.java [doHandle]:492) -  
INFO   | jvm 1    | 2016/02/23 18:50:55 | javax.servlet.ServletException: An error occurred while processing request to /exist/apps/dashboard/plugins/packageManager/packages/: exerr:ERROR Error. [at line 96, column 24, source: /db/apps/dashboard/plugins/packageManager/packages.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | In function:
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	packages:get-package-meta(xs:string, xs:string) [96:24:/db/apps/dashboard/plugins/packageManager/packages.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	packages:scan-repo(function) [48:5:/db/apps/dashboard/plugins/packageManager/packages.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	packages:installed-apps(xs:string?) [25:52:/db/apps/dashboard/plugins/packageManager/packages.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	packages:get(xs:string?, xs:string?, xs:string?) [37:19:/db/apps/dashboard/plugins/packageManager/packages.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	restxq:call-with-args(function, function*) [88:17:/db/apps/dashboard/modules/restxq.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	(function, element(), map) [83:68:/db/apps/dashboard/modules/restxq.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	restxq:function-by-annotation(function+, map, function) [83:9:/db/apps/dashboard/modules/restxq.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	restxq:process(xs:string?, function+) [41:9:/db/apps/dashboard/modules/restxq.xql]
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at org.exist.http.urlrewrite.XQueryURLRewrite.service(XQueryURLRewrite.java:383)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:669)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1448)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at de.betterform.agent.web.filter.XFormsFilter.doFilter(XFormsFilter.java:164)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1419)
INFO   | jvm 1    | 2016/02/23 18:50:55 | 	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:455)
